BNF	Sample	Subsample	"31P"	"39K"	"51V"	"56Fe"	"98Mo"	Plot	Habitat
0.866655457	417-2	2	3.02464191	-0.078871088	0.00114931	0.437220159	9.64456E-05	417	"Shrub Tundra"
3.95796398	417-3	3	3.490405728	-0.087260143	0.000677351	0.206363007	5.06205E-05	417	"Shrub Tundra"
89.29252596	416-1	1	0.48274946	-0.022883153	0.000654428	0.25675378	3.70842E-05	416	"Shrub Tundra"
19.32238165	416-2	2	0.360852029	-0.01779673	0.000609857	0.26250358	3.13365E-05	416	"Shrub Tundra"
30.91562369	416-3	3	0.423865424	-0.020852422	0.000595963	0.233575569	3.34576E-05	416	"Shrub Tundra"
21.07618227	415-1	1	2.182672566	-0.073068584	0.001394336	0.466119469	6.25664E-05	415	"Shrub Tundra"
30.6941865	415-2	2	1.834310559	-0.053981677	0.001003727	0.308928261	4.07764E-05	415	"Shrub Tundra"
24.4546951	415-3	3	2.162156388	-0.072568722	0.001799758	0.64404185	4.89427E-05	415	"Shrub Tundra"
9.517953237	414-1	1	1.456609375	-0.0795375	0.000830094	0.226587188	0.00002525	414	"Shrub Tundra"
18.10588978	414-2	2	0.512141414	-0.042093535	0.00030402	0.17680101	1.22424E-05	414	"Shrub Tundra"
19.27689925	414-3	3	1.167111111	-0.0517625	0.000923028	0.253369722	2.24444E-05	414	"Shrub Tundra"
55.27815968	412-1	1	0.623146998	-0.040588199	0.000522774	0.143198344	1.88199E-05	412	"Shrub Tundra"
61.31741733	412-2	2	0.331727545	-0.024899222	0.000314491	0.082160778	1.51198E-05	412	"Shrub Tundra"
30.06477606	412-3	3	0.412911765	-0.021031765	0.000379811	0.105201261	1.90966E-05	412	"Shrub Tundra"
34.9580213	411-1	1	0.788315545	-0.045672622	0.000717077	0.258241299	1.64037E-05	411	"Shrub Tundra"
58.90306003	411-2	2	0.830663415	-0.049120488	0.001140561	0.44267561	2.9561E-05	411	"Shrub Tundra"
