Sample	P	K	V	Fe	Mo	Fe(57)	Mo(95)	Site	Habitat
417	2.69E+00	-6.87E-02	8.53E-04	3.13E-01	8.24E-05	3.01E-01	0.00	Umiujaq	"Shrub tundra"
416	4.22E-01	-2.05E-02	6.20E-04	2.51E-01	3.40E-05	2.44E-01	0.00	Umiujaq	"Shrub tundra"
415	2.06E+00	-6.65E-02	1.40E-03	4.73E-01	5.08E-05	4.55E-01	0.00	Umiujaq	"Shrub tundra"
414	1.05E+00	-5.78E-02	6.86E-04	2.19E-01	2.00E-05	2.18E-01	0.00	Umiujaq	"Shrub tundra"
412	4.56E-01	-2.88E-02	4.06E-04	1.10E-01	1.77E-05	1.11E-01	0.00	Umiujaq	"Shrub tundra"
411	8.85E-01	-4.99E-02	1.06E-03	3.80E-01	2.60E-05	3.72E-01	0.00	Umiujaq	"Shrub tundra"
408	8.96E-01	-4.33E-02	8.16E-04	2.10E-01	3.52E-05	2.09E-01	0.00	Umiujaq	"Shrub tundra"
407	2.51E+00	-7.84E-02	2.16E-03	8.22E-01	7.53E-05	7.95E-01	0.00	Umiujaq	"Shrub tundra"
402	6.82E-01	-4.01E-02	8.52E-04	4.27E-01	2.10E-05	4.23E-01	0.00	Umiujaq	"Shrub tundra"
401	1.80E+00	-1.11E-01	3.89E-04	1.34E-01	4.87E-05	1.34E-01	0.00	Umiujaq	"Shrub tundra"
399	1.40E+00	-5.95E-02	2.39E-03	8.07E-01	2.90E-05	7.90E-01	0.00	Umiujaq	"Shrub tundra"
398	8.44E-01	-4.78E-02	1.08E-03	4.14E-01	4.80E-05	4.07E-01	0.00	Umiujaq	"Shrub tundra"
394	6.17E-01	-3.05E-02	2.36E-04	7.74E-02	1.27E-05	7.70E-02	0.00	Kuujjuarapik	"Forest tundra"
393	1.36E+00	-5.17E-02	1.56E-03	6.35E-01	2.44E-05	6.24E-01	0.00	Kuujjuarapik	"Forest tundra"
389	1.59E+00	-9.57E-02	1.13E-03	3.91E-01	5.89E-05	3.85E-01	0.00	Kuujjuarapik	"Forest tundra"
388	1.64E+00	-6.83E-02	1.39E-03	4.28E-01	2.22E-05	4.20E-01	0.00	Kuujjuarapik	"Forest tundra"
387	2.75E+00	-9.09E-02	3.94E-03	1.24E+00	2.76E-05	1.15E+00	0.00	Kuujjuarapik	"Forest tundra"
386	3.03E+00	-1.19E-01	4.21E-03	1.24E+00	8.07E-05	1.17E+00	0.00	Kuujjuarapik	"Forest tundra"
383	1.66E+00	-5.19E-02	2.47E-03	8.18E-01	4.75E-05	8.00E-01	0.00	Kuujjuarapik	"Forest tundra"
382	1.30E+00	-5.34E-02	2.09E-03	6.45E-01	2.35E-05	6.20E-01	0.00	Kuujjuarapik	"Forest tundra"
380	2.36E+01	2.04E-01	8.13E-03	1.70E+00	3.43E-04	2.57E+00	0.00	Kuujjuarapik	"Forest tundra"
379	1.41E+00	-6.48E-02	7.31E-04	2.06E-01	3.47E-05	2.02E-01	0.00	Kuujjuarapik	"Forest tundra"
375	1.41E+00	-6.48E-02	7.31E-04	2.06E-01	3.47E-05	2.02E-01	0.00	Kuujjuarapik	"Forest tundra"
370	1.41E+00	-6.48E-02	7.31E-04	2.06E-01	3.47E-05	2.02E-01	0.00	Umiujaq	"Shrub tundra"

