Sample	P	K	V	Fe	Mo	Site	Habitat
417-1	1.540651	-0.039859	0.000733	0.295185	0.000100	Umiujaq	"Shrub tundra"
417-2	3.024642	-0.078871	0.001149	0.437220	0.000096	Umiujaq	"Shrub tundra"
417-3	3.490406	-0.087260	0.000677	0.206363	0.000051	Umiujaq	"Shrub tundra"
416-1	0.482749	-0.022883	0.000654	0.256754	0.000037	Umiujaq	"Shrub tundra"
416-2	0.360852	-0.017797	0.000610	0.262504	0.000031	Umiujaq	"Shrub tundra"
416-3	0.423865	-0.020852	0.000596	0.233576	0.000033	Umiujaq	"Shrub tundra"
415-1	2.182673	-0.073069	0.001394	0.466119	0.000063	Umiujaq	"Shrub tundra"
415-2	1.834311	-0.053982	0.001004	0.308928	0.000041	Umiujaq	"Shrub tundra"
415-3	2.162156	-0.072569	0.001800	0.644042	0.000049	Umiujaq	"Shrub tundra"
414-1	1.456609	-0.079538	0.000830	0.226587	0.000025	Umiujaq	"Shrub tundra"
414-2	0.512141	-0.042094	0.000304	0.176801	0.000012	Umiujaq	"Shrub tundra"
414-3	1.167111	-0.051763	0.000923	0.253370	0.000022	Umiujaq	"Shrub tundra"
412-1	0.623147	-0.040588	0.000523	0.143198	0.000019	Umiujaq	"Shrub tundra"
412-2	0.331728	-0.024899	0.000314	0.082161	0.000015	Umiujaq	"Shrub tundra"
412-3	0.412912	-0.021032	0.000380	0.105201	0.000019	Umiujaq	"Shrub tundra"
411-1	0.788316	-0.045673	0.000717	0.258241	0.000016	Umiujaq	"Shrub tundra"
411-2	0.830663	-0.049120	0.001141	0.442676	0.000030	Umiujaq	"Shrub tundra"
411-3	1.037254	-0.055053	0.001337	0.439590	0.000032	Umiujaq	"Shrub tundra"
408-1	1.006874	-0.047687	0.000893	0.272524	0.000041	Umiujaq	"Shrub tundra"
408-2	0.702135	-0.030416	0.000746	0.146056	0.000032	Umiujaq	"Shrub tundra"
408-3	0.980305	-0.051767	0.000810	0.211268	0.000032	Umiujaq	"Shrub tundra"
407-1	3.339974	-0.112366	0.002945	1.130890	0.000106	Umiujaq	"Shrub tundra"
407-2	1.534890	-0.034562	0.001348	0.517399	0.000041	Umiujaq	"Shrub tundra"
407-3	2.650092	-0.088259	0.002175	0.816803	0.000079	Umiujaq	"Shrub tundra"
402-1	0.801200	-0.047500	0.000730	0.470800	0.000020	Umiujaq	"Shrub tundra"
402-2	0.878700	-0.053712	0.001390	0.627614	0.000030	Umiujaq	"Shrub tundra"
402-3	0.364924	-0.019021	0.000436	0.183252	0.000013	Umiujaq	"Shrub tundra"
