Plot	Habitat	BNF	SD	P	K	V	Fe	Mo	Shannon_16S	Simpson_16S	Faith_16S	Shannon_nifH	Simpson_nifH	Faith_nifH	Rhodomicrobium	Dolichospermum	Nostoc	Trichormus	Iningainema	Azorhizobium	Calothrix	Fischerella	Anabaena	Mastigocladus
369	Forest Tundra	36.47	19.76	NA	NA	NA	NA	NA	5.04	0.98	11.94	1.65	0.72	1.91	0.2989	0.0197	0.0151	0.0320	0.0114	0.0530	0.0000	0.3800	0.0003	0.1739
370	Forest Tundra	4.37	1.28	1.4129348	-0.0648094	0.0007315	0.2064226	0.0000347	4.62	0.97	9.65	1.05	0.55	1.42	0.0108	0.0522	0.0145	0.0000	0.5758	0.0000	0.0000	0.0005	0.3127	0.0035
371	NA	NA	NA	NA	NA	NA	NA	NA	5.00	0.99	9.68	1.11	0.48	1.56	0.1489	0.0000	0.6467	0.0000	0.0004	0.0053	0.0000	0.0000	0.0002	0.0000
375	Forest Tundra	8.13	3.53	1.4129348	-0.0648094	0.0007315	0.2064226	0.0000347	5.04	0.99	10.68	1.00	0.49	1.19	0.6663	0.0000	0.0606	0.0000	0.1626	0.0796	0.0000	0.0000	0.0252	0.0000
378	NA	NA	NA	NA	NA	NA	NA	NA	5.20	0.99	10.57	1.62	0.70	2.64	0.1917	0.0355	0.0055	0.1171	0.0565	0.0082	0.0000	0.4584	0.0248	0.0561
379	Forest Tundra	31.21	9.86	1.4129348	-0.0648094	0.0007315	0.2064226	0.0000347	5.26	0.98	12.54	1.80	0.69	2.83	0.0081	0.4218	0.3653	0.0041	0.0155	0.0158	0.0000	0.0102	0.0103	0.0044
380	Forest Tundra	8.56	6.39	23.5860339	0.2038832	0.0081311	1.6960196	0.0003432	4.95	0.98	9.45	1.23	0.52	2.43	0.0008	0.4835	0.4164	0.0043	0.0194	0.0002	0.0000	0.0040	0.0045	0.0009
382	Forest Tundra	0.57	0.23	1.3003352	-0.0533618	0.0020939	0.6449221	0.0000235	5.27	0.99	11.77	1.68	0.70	2.64	0.0499	0.0005	0.3124	0.0403	0.4570	0.0014	0.0000	0.0037	0.0587	0.0031
383	Forest Tundra	8.44	4.71	1.6566718	-0.0519188	0.0024732	0.8178248	0.0000475	5.03	0.99	9.89	1.93	0.78	2.42	0.3305	0.0369	0.0117	0.0572	0.0372	0.1009	0.0000	0.1823	0.0109	0.1269
385	NA	NA	NA	NA	NA	NA	NA	NA	5.34	0.99	13.06	1.63	0.63	3.52	0.0947	0.0302	0.6658	0.0003	0.0757	0.0011	0.0000	0.0520	0.0104	0.0008
386	Forest Tundra	1.75	0.24	3.0314330	-0.1186916	0.0042098	1.2384565	0.0000807	5.29	0.99	11.25	2.44	0.85	3.32	0.1208	0.1120	0.1387	0.1397	0.0739	0.0212	0.0000	0.0393	0.0053	0.0384
387	Forest Tundra	2.28	1.93	2.7478523	-0.0909347	0.0039394	1.2379291	0.0000276	5.06	0.98	10.82	1.64	0.62	2.77	0.0610	0.0089	0.5905	0.0136	0.0107	0.0361	0.0000	0.0007	0.0006	0.0006
388	Forest Tundra	15.15	1.85	1.6371760	-0.0682717	0.0013915	0.4283053	0.0000222	4.79	0.97	10.68	1.40	0.57	3.23	0.1612	0.0465	0.0232	0.5584	0.0000	0.1346	0.0000	0.0039	0.0001	0.0002
389	Forest Tundra	35.36	6.49	1.5874220	-0.0956792	0.0011314	0.3908236	0.0000589	5.05	0.99	9.54	2.11	0.82	2.77	0.1007	0.0153	0.4394	0.0000	0.0022	0.0243	0.0000	0.1744	0.0351	0.0000
393	Forest Tundra	41.50	11.00	1.3623346	-0.0517447	0.0015594	0.6353644	0.0000244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
394	Forest Tundra	19.24	5.11	0.6173497	-0.0304853	0.0002359	0.0773583	0.0000127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
398	Shrub Tundra	26.92	5.73	0.8438760	-0.0477592	0.0010841	0.4142351	0.0000480	5.26	0.99	10.40	0.87	0.34	2.75	0.0055	0.8008	0.0321	0.0662	0.0009	0.0180	0.0000	0.0033	0.0003	0.0000
399	Shrub Tundra	18.64	3.67	1.3970894	-0.0594964	0.0023928	0.8066538	0.0000290	4.62	0.98	8.76	1.73	0.71	2.57	0.5825	0.0906	0.0220	0.0013	0.0104	0.0422	0.0700	0.0804	0.0170	0.0437
401	Shrub Tundra	35.33	8.00	1.8038460	-0.1113008	0.0003887	0.1344548	0.0000487	4.99	0.99	7.55	1.29	0.59	2.14	0.0025	0.3694	0.1053	0.0000	0.0079	0.1970	0.0000	0.0788	0.0001	0.0001
402	Shrub Tundra	36.29	5.82	0.6816080	-0.0400777	0.0008518	0.4272220	0.0000210	4.72	0.98	7.02	1.77	0.75	2.54	0.1690	0.3402	0.0960	0.0004	0.0143	0.2287	0.0000	0.0663	0.0175	0.0000
405	Shrub Tundra	22.17	2.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
407	Shrub Tundra	2.53	1.70	2.5083187	-0.0783957	0.0021561	0.8216973	0.0000753	4.67	0.98	8.21	2.19	0.76	3.67	0.3723	0.1540	0.1005	0.0040	0.0183	0.0380	0.0224	0.0547	0.0468	0.0163
408	Shrub Tundra	3.78	2.40	0.8964383	-0.0432900	0.0008161	0.2099494	0.0000352	5.12	0.99	9.43	2.20	0.83	3.01	0.0956	0.1390	0.2892	0.0036	0.1782	0.0000	0.0104	0.0417	0.0843	0.0019
411	Shrub Tundra	51.94	14.78	0.8854110	-0.0499487	0.0010649	0.3801691	0.0000260	4.83	0.98	8.29	0.98	0.44	2.30	0.0360	0.1064	0.0534	0.0000	0.0014	0.2341	0.5278	0.0070	0.0260	0.0000
412	Shrub Tundra	48.89	16.58	0.4559288	-0.0288397	0.0004057	0.1101868	0.0000177	4.89	0.98	8.75	1.79	0.73	2.38	0.2896	0.1154	0.2800	0.0000	0.0102	0.0989	0.0000	0.0331	0.0000	0.0122
414	Shrub Tundra	15.63	5.33	1.0452873	-0.0577978	0.0006857	0.2189193	0.0000200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
415	Shrub Tundra	25.41	4.88	2.0597132	-0.0665397	0.0013993	0.4730299	0.0000508	4.87	0.98	11.50	1.97	0.74	2.97	0.0844	0.0590	0.2245	0.3655	0.0070	0.0469	0.0620	0.0791	0.0086	0.0359
416	Shrub Tundra	46.51	37.50	0.4224890	-0.0205108	0.0006201	0.2509443	0.0000340	5.25	0.99	11.46	1.88	0.77	2.12	0.2003	0.3021	0.1817	0.0000	0.0369	0.0156	0.0000	0.1067	0.0051	0.0305
417	Shrub Tundra	2.41	2.08	2.6852328	-0.0686634	0.0008534	0.3129226	0.0000824	NA	NA	NA	2.08	0.74	3.77	0.0308	0.0281	0.0387	0.1810	0.0336	0.0008	0.0010	0.2529	0.0036	0.0032
